"CID","CanonicalSMILES","IUPACName","Title","MolecularFormula","MolecularWeight","XLogP","HBondDonorCount","HBondAcceptorCount"
509,"C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=NC6=C5NC(=NC6=O)N)O)O)O)O)NC(=NC2=O)N","[[5-(2-amino-6-oxo-3H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [[[5-(2-amino-6-oxo-3H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl] hydrogen phosphate","","C20H28N10O21P4",868.4,-10.0,12,23
510,"OP1(=O)OP(=O)(OP(=O)(O1)O)O","2,4,6-trihydroxy-1,3,5,2lambda5,4lambda5,6lambda5-trioxatriphosphinane 2,4,6-trioxide","Trimetaphosphoric acid","H3O9P3",239.94,-3.3,3,9
511,"CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)OP(=O)(O)O","[2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethoxy-hydroxyphosphoryl] phosphono hydrogen phosphate","Thiamine triphosphate","C12H20N4O10P3S+",505.30,-2.3,5,14
512,"C1=CC=C(C=C1)C(=O)CC=CC(=O)C(=O)O","2,6-dioxo-6-phenylhex-3-enoic acid","2,6-Dioxo-6-phenylhex-3-enoic acid","C12H10O4",218.20,1.4,1,4
513,"CC(C(CC(=O)O)C(=O)O)(C(=O)O)O","3-hydroxybutane-1,2,3-tricarboxylic acid","3-Hydroxybutane-1,2,3-tricarboxylic acid","C7H10O7",206.15,-1.6,4,7
514,"C1=CC(=C(C(=C1)O)O)C(=O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)O","[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] 2,3-dihydroxybenzoate","[[5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] 2,3-dihydroxybenzoate","C17H18N5O10P",483.3,-1.400,6,14
515,"CC(C(=O)O)C(CC(=O)O)(C(=O)O)O","2-hydroxybutane-1,2,3-tricarboxylic acid","2-Methylcitric acid","C7H10O7",206.15,-1.4,4,7
516,"CC(CCOP(=O)(O)OP(=O)(O)O)(CC(=O)O)O","3-hydroxy-5-[hydroxy(phosphonooxy)phosphoryl]oxy-3-methylpentanoic acid","(RS)-5-diphosphomevalonate","C6H14O10P2",308.12,-3.2,5,10
517,"CC1=C2C(C(C(=N2)C=C3C(C(C(=CC4=C(C(=C(N4)CC5=C(C(=C1N5)CC(=O)O)CCC(=O)O)CCC(=O)O)CC(=O)O)N3)CCC(=O)O)(C)CC(=O)O)CCC(=O)O)(C)CC(=O)O","3-[7,13,17-tris(2-carboxyethyl)-3,8,12,18-tetrakis(carboxymethyl)-3,8,10-trimethyl-2,7,15,21,23,24-hexahydroporphyrin-2-yl]propanoic acid","3-[7,13,17-Tris(2-carboxyethyl)-3,8,12,18-tetrakis(carboxymethyl)-3,8,10-trimethyl-2,7,15,21,23,24-hexahydroporphyrin-2-yl]propanoic acid","C43H50N4O16",878.9,0.0,11,18
518,"CC12CC(=O)OC13C(C4=C(C(=C(N4)CC5=C(C(=C(N5)C=C6C(C(C(=CC(=N3)C2CCC(=O)O)N6)(C)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CCC(=O)O)CC(=O)O)(C)O","3-[5,9,19-tris(2-carboxyethyl)-4,10,15-tris(carboxymethyl)-2-hydroxy-2,15,20-trimethyl-22-oxo-23-oxa-24,25,26,27-tetrazahexacyclo[16.5.1.13,6.18,11.113,16.01,20]heptacosa-3,5,8,10,12,16,18(24)-heptaen-14-yl]propanoic acid","3-[5,9,19-Tris(2-carboxyethyl)-4,10,15-tris(carboxymethyl)-2-hydroxy-2,15,20-trimethyl-22-oxo-23-oxa-24,25,26,27-tetrazahexacyclo[16.5.1.13,6.18,11.113,16.01,20]heptacosa-3,5,8,10,12,16,18(24)-heptaen-14-yl]propanoic acid","C43H50N4O17",894.9,-1.0,11,19
519,"C(C(C(C(=O)COP(=O)(O)O)O)O)C(=O)O","3,4-dihydroxy-5-oxo-6-phosphonooxyhexanoic acid","3,4-Dihydroxy-5-oxo-6-phosphonooxyhexanoic acid","C6H11O9P",258.12,-3.5,5,9
520,"CCCCCCCCCCCCCCCC(C(COP(=O)(O)O)N)O","(2-amino-3-hydroxyoctadecyl) dihydrogen phosphate","(2-Amino-3-hydroxyoctadecyl) dihydrogen phosphate","C18H40NO5P",381.5,2.4,4,6
521,"CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O","S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-hydroxybutanethioate","3-hydroxybutanoyl CoA","C25H42N7O18P3S",853.6,-5.900,10,23
522,"CC(=O)C12C3=C(C(C(=N3)CC4=C(C(=C(N4)CC5=C(C(C(=N5)C=C(N1)C(C2(C)CC(=O)O)CCC(=O)O)(C)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)(C)CCC(=O)O)CC(=O)O","3-[1-acetyl-8,13,17-tris(2-carboxyethyl)-2,7,12,18-tetrakis(carboxymethyl)-2,7,17-trimethyl-10,15,21,23-tetrahydro-3H-corrin-3-yl]propanoic acid","3-[1-acetyl-8,13,17-tris(2-carboxyethyl)-2,7,12,18-tetrakis(carboxymethyl)-2,7,17-trimethyl-10,15,21,23-tetrahydro-3H-corrin-3-yl]propanoic acid","C44H52N4O17",908.9,-2.0,10,20
523,"C(CC(=O)C(=O)O)C=O","2,5-dioxopentanoic acid","2,5-Dioxopentanoic acid","C5H6O4",130.10,-1.0,1,4
524,"C(C(=O)C(=O)O)(C(=O)O)O","2-hydroxy-3-oxobutanedioic acid","2-Hydroxy-3-oxosuccinic acid","C4H4O6",148.07,-1.2,3,6
525,"C(C(C(=O)O)O)C(=O)O","2-hydroxybutanedioic acid","Malic acid","C4H6O5",134.09,-1.300,3,5
526,"CC(=O)C12C3=C(C(C(=N3)CC4=NC(CC5=C(C(C(=N5)C=C(N1)C(C2(C)CC(=O)O)CCC(=O)O)(C)CC(=O)O)CCC(=O)O)(C(=C4CCC(=O)O)CC(=O)O)C)(C)CCC(=O)O)CC(=O)O","3-[1-acetyl-8,13,17-tris(2-carboxyethyl)-2,7,12,18-tetrakis(carboxymethyl)-2,7,11,17-tetramethyl-3,10,15,21-tetrahydrocorrin-3-yl]propanoic acid","3-[1-Acetyl-8,13,17-tris(2-carboxyethyl)-2,7,12,18-tetrakis(carboxymethyl)-2,7,11,17-tetramethyl-3,10,15,21-tetrahydrocorrin-3-yl]propanoic acid","C45H54N4O17",922.9,-2.5,9,21
527,"CCC=O","propanal","Propionaldehyde","C3H6O",58.08,0.600,0,1
528,"CC(=O)OCCC(C(=O)O)N","4-acetyloxy-2-aminobutanoic acid","Acetylhomoserine","C6H11NO4",161.16,-3.800,2,5
529,"C(C(=O)O)OP(=O)(O)O","2-phosphonooxyacetic acid","2-Phosphoglycolic Acid","C2H5O6P",156.03,-2.0,3,6
530,"C1C(N(C2=C(N1)NC(=NC2=O)N)C=N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O","2-[[4-[(2-amino-5-methanimidoyl-4-oxo-1,6,7,8-tetrahydropteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid","","C20H24N8O6",472.5,-1.2,8,9
531,"CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)N","S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-aminobutanethioate","S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-aminobutanethioate","C25H43N8O17P3S",852.6,-8.500,10,23
532,"CC12CC3=C(C(C(=N3)C=C4C(C(C(N4)(C5=C(C(C(=CC(=N1)C(=C2CC(=O)O)CCC(=O)O)N5)(C)CCC(=O)O)CC(=O)O)C)(C)CC(=O)O)CCC(=O)O)(C)CC(=O)O)CCC(=O)O","3-[8,13,17-tris(2-carboxyethyl)-2,7,12,18-tetrakis(carboxymethyl)-1,2,7,11,17-pentamethyl-3,10,21,24-tetrahydrocorrin-3-yl]propanoic acid","3-[8,13,17-Tris(2-carboxyethyl)-2,7,12,18-tetrakis(carboxymethyl)-1,2,7,11,17-pentamethyl-3,10,21,24-tetrahydrocorrin-3-yl]propanoic acid","C44H54N4O16",894.9,-1.6,10,20
533,"[SeH2]","selane","Hydrogen selenide","H2Se",80.99,"",0,0
534,"CC12CC3=C(C(C(=N3)C=C4C(C(C(N4)(C5C(C(C(=CC(=N1)C(=C2CC(=O)O)CCC(=O)O)N5)(C)CCC(=O)O)CC(=O)O)C)(C)CC(=O)O)CCC(=O)O)(C)CC(=O)O)CCC(=O)O","3-[8,13,17-tris(2-carboxyethyl)-2,7,12,18-tetrakis(carboxymethyl)-1,2,7,11,17-pentamethyl-3,10,18,19,21,24-hexahydrocorrin-3-yl]propanoic acid","3-[8,13,17-Tris(2-carboxyethyl)-2,7,12,18-tetrakis(carboxymethyl)-1,2,7,11,17-pentamethyl-3,10,18,19,21,24-hexahydrocorrin-3-yl]propanoic acid","C44H56N4O16",896.9,-0.9,10,20
535,"C1CC1(C(=O)O)N","1-aminocyclopropane-1-carboxylic acid","1-Aminocyclopropanecarboxylic acid","C4H7NO2",101.10,-2.800,2,3
536,"CC1C2=C(C(=C)C(N2)(CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)O)CC(=O)O)(C(C4CCC(=O)O)(C)CC(=O)O)C)C)C(C3CCC(=O)O)(C)CC(=O)O)C)CCC(=O)O","3-[3,13,17-tris(2-carboxyethyl)-2,7,18-tris(carboxymethyl)-1,2,5,7,11,15,17-heptamethyl-12-methylidene-8,10,15,18,19,23-hexahydro-3H-corrin-8-yl]propanoic acid","3-[3,13,17-tris(2-carboxyethyl)-2,7,18-tris(carboxymethyl)-1,2,5,7,11,15,17-heptamethyl-12-methylidene-8,10,15,18,19,23-hexahydro-3H-corrin-8-yl]propanoic acid","C45H60N4O14",881.0,-0.3,8,18
537,"CC1C2C(C(C(=N2)CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)O)CC(=O)O)(C(C4CCC(=O)O)(C)CC(=O)O)C)C)C(C3CCC(=O)O)(C)CC(=O)O)(C)C)CCC(=O)O","3-[3,12,17-tris(2-carboxyethyl)-2,13,18-tris(carboxymethyl)-3,5,8,8,13,15,18,19-octamethyl-1,2,5,6,7,10,12,17-octahydrocorrin-7-yl]propanoic acid","3-[3,12,17-Tris(2-carboxyethyl)-2,13,18-tris(carboxymethyl)-3,5,8,8,13,15,18,19-octamethyl-1,2,5,6,7,10,12,17-octahydrocorrin-7-yl]propanoic acid","C45H62N4O14",883.0,0.4,7,18
538,"CC1C2C(C(C(=N2)CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)O)CC(=O)O)(C(C4CCC(=O)O)(C)CC(=O)N)C)C)C(C3CCC(=O)O)(C)CC(=O)N)(C)C)CCC(=O)O","3-[13,18-bis(2-amino-2-oxoethyl)-3,12,17-tris(2-carboxyethyl)-2-(carboxymethyl)-3,5,8,8,13,15,18,19-octamethyl-1,2,5,6,7,10,12,17-octahydrocorrin-7-yl]propanoic acid","3-[13,18-Bis(2-amino-2-oxoethyl)-3,12,17-tris(2-carboxyethyl)-2-(carboxymethyl)-3,5,8,8,13,15,18,19-octamethyl-1,2,5,6,7,10,12,17-octahydrocorrin-7-yl]propanoic acid","C45H64N6O12",881.0,-0.9,7,16
539,"CC1C2C(C(C(=N2)CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)O)CC(=O)O)(C(C4CCC(=O)O)(C)CC(=O)N)C)C)C(C3CCC(=O)O)(C)CC(=O)N)(C)C)CCC(=O)O.[Co]","3-[13,18-bis(2-amino-2-oxoethyl)-3,12,17-tris(2-carboxyethyl)-2-(carboxymethyl)-3,5,8,8,13,15,18,19-octamethyl-1,2,5,6,7,10,12,17-octahydrocorrin-7-yl]propanoic acid;cobalt","3-[13,18-Bis(2-amino-2-oxoethyl)-3,12,17-tris(2-carboxyethyl)-2-(carboxymethyl)-3,5,8,8,13,15,18,19-octamethyl-1,2,5,6,7,10,12,17-octahydrocorrin-7-yl]propanoic acid;cobalt","C45H64CoN6O12",940.0,"",7,16
540,"C(#N)O","cyanic acid","Cyanic acid","CHNO",43.025,0.1,1,2
541,"C1=CC(=CC=C1C=O)[N+](=O)[O-]","4-nitrobenzaldehyde","4-Nitrobenzaldehyde","C7H5NO3",151.12,1.600,0,3
542,"C1=CC(=O)OC1CC(=O)O","2-(5-oxo-2H-furan-2-yl)acetic acid","Muconolactone","C6H6O4",142.11,-0.2,1,4
543,"C1=CC(OC1=O)(CC(=O)O)C(=O)O","2-(carboxymethyl)-5-oxofuran-2-carboxylic acid","4-Carboxymuconolactone","C7H6O6",186.12,-0.7,2,6
544,"[O-][As]([O-])[O-]","arsorite","Arsorite","AsO3-3",122.920,"",0,3
545,"O[As](O)O","arsorous acid","Arsenous acid","AsH3O3",125.944,"",3,3
546,"C(C(=O)O)P(=O)(O)O","2-phosphonoacetic acid","Phosphonoacetic acid","C2H5O5P",140.03,-2.0,3,5
547,"C1=CC(=C(C=C1CC(=O)O)O)O","2-(3,4-dihydroxyphenyl)acetic acid","3,4-Dihydroxyphenylacetic acid","C8H8O4",168.15,0.500,3,4
548,"C(C(=CO)C=CC(=O)C(=O)O)C(=O)O","5-(hydroxymethylidene)-2-oxohept-3-enedioic acid","2-Hydroxy-5-formyl-2,4-heptadienedioic acid","C8H8O6",200.14,-0.1,3,6
549,"C(C(=C(O)O)C=CC(=O)C(=O)O)C(=O)O","5-(dihydroxymethylidene)-2-oxohept-3-enedioic acid","","C8H8O7",216.14,-0.2,4,7
550,"C(C(C=CC(=O)C(=O)O)C(=O)O)C(=O)O","5-oxopent-3-ene-1,2,5-tricarboxylic acid","5-Oxopent-3-ene-1,2,5-tricarboxylic acid","C8H8O7",216.14,-0.9,3,7
551,"C(C=CC=C(C(=O)O)O)C(=O)O","2-hydroxyhepta-2,4-dienedioic acid","2-Hydroxy-hept-2,4-diene-1,7-dioic acid","C7H8O5",172.13,0.2,3,5
552,"C1C(NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)CC(C(C(COC4C(C(C(O4)COP(=O)(O)OC(CCC(=O)O)(C=O)NC(CC(=O)O)C=O)O)O)O)O)O","4-[[5-[5-[4-[(2-amino-4-oxo-5,6,7,8-tetrahydro-1H-pteridin-6-yl)methylamino]phenyl]-2,3,4-trihydroxypentoxy]-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-4-[(1-carboxy-3-oxopropan-2-yl)amino]-5-oxopentanoic acid","","C32H46N7O18P",847.7,-8.1,14,22
553,"C(CC(=O)O)C(CC(=O)C(=O)O)O","4-hydroxy-2-oxoheptanedioic acid","4-Hydroxy-2-oxoheptanedioic acid","C7H10O6",190.15,-1.2,3,6
554,"C[N+]1(CCCC1C(=O)[O-])C","1,1-dimethylpyrrolidin-1-ium-2-carboxylate","1,1-Dimethylpyrrolidinium-2-carboxylate","C7H13NO2",143.18,1.0,0,2
555,"C[N+]1(CCCC1C(=O)O)C","1,1-dimethylpyrrolidin-1-ium-2-carboxylic acid","dl-Stachydrine","C7H14NO2+",144.19,0.4,1,2
556,"C(CC(C(=O)O)NC(=O)CCC(=O)O)C=O","2-(3-carboxypropanoylamino)-5-oxopentanoic acid","2-(3-Carboxypropanoylamino)-5-oxopentanoic acid","C9H13NO6",231.20,-1.6,3,6
557,"CN1CCCC1C(=O)O","1-methylpyrrolidine-2-carboxylic acid","1-Methylpyrrolidine-2-carboxylic acid","C6H11NO2",129.16,-1.9,1,3
558,"C(CC(=O)C(=O)O)CN=C(N)N","5-(diaminomethylideneamino)-2-oxopentanoic acid","2-Oxoarginine","C6H11N3O3",173.17,-1.6,3,4
559,"C(CC=O)CN=C(N)N","2-(4-oxobutyl)guanidine","4-Guanidinobutanal","C5H11N3O",129.16,-1.5,2,2
560,"C(C(C(C(=O)CO)O)O)C(=O)O","3,4,6-trihydroxy-5-oxohexanoic acid","3,4,6-Trihydroxy-5-oxohexanoic acid","C6H10O6",178.14,-2.4,4,6
561,"CSCCC(=O)C(=O)COP(=O)(O)O","(5-methylsulfanyl-2,3-dioxopentyl) dihydrogen phosphate","5-(Methylthio)-2,3-dioxopentyl phosphate","C6H11O6PS",242.19,-1.600,2,7
562,"CSCCC(=O)C(=CO)O","1,2-dihydroxy-5-methylsulfanylpent-1-en-3-one","1-Penten-3-one, 1,2-dihydroxy-5-(methylthio)-","C6H10O3S",162.21,0.8,2,4
563,"CSCCC(=O)O","3-methylsulfanylpropanoic acid","3-(Methylthio)propionic acid","C4H8O2S",120.17,0.4,1,3
564,"C(CCC(=O)O)CCN","6-aminohexanoic acid","Aminocaproic acid","C6H13NO2",131.17,-3.000,2,3
565,"CN1C(CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)CC(C(C(COC4C(C(C(O4)COP(=O)(O)OC(CCC(=O)O)(C=O)NC(CC(=O)O)C=O)O)O)O)O)O","4-[[5-[5-[4-[(2-amino-5-methyl-4-oxo-1,6,7,8-tetrahydropteridin-6-yl)methylamino]phenyl]-2,3,4-trihydroxypentoxy]-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-4-[(1-carboxy-3-oxopropan-2-yl)amino]-5-oxopentanoic acid","","C33H48N7O18P",861.7,-7.9,13,22
566,"CC(=O)O.C1=CC=C(C=C1)[Hg]","acetic acid;phenylmercury","Acetic acid;phenylmercury","C8H9HgO2",337.75,"",1,2
567,"C1=CC=C(C=C1)[Hg]","phenylmercury","Phenylmercury","C6H5Hg",277.70,"",0,0
568,"C1=CC=C2C(=C1)C3=CC=CC=C3O2","dibenzofuran","Dibenzofuran","C12H8O",168.19,4.100,0,1
569,"C1=CC=C(C(=C1)C2=C(C(=CC=C2)O)O)O","3-(2-hydroxyphenyl)benzene-1,2-diol","3-(2-Hydroxyphenyl)catechol","C12H10O3",202.21,2.5,3,3
570,"C1=CC=C(C=C1)C(=CC=CC(=O)C(=O)O)O","6-hydroxy-2-oxo-6-phenylhexa-3,5-dienoic acid","2-Hydroxy-6-oxo-6-phenylhexa-2,4-dienoic acid","C12H10O4",218.20,1.8,2,4
571,"C(CCC(=O)N)CC(CCS)SC(=O)CCC(=O)O","4-(8-amino-8-oxo-1-sulfanyloctan-3-yl)sulfanyl-4-oxobutanoic acid","Butanoic acid, 4-[[6-amino-1-(2-mercaptoethyl)-6-oxohexyl]thio]-4-oxo-","C12H21NO4S2",307.4,0.7,3,6
572,"C(CN(C=O)O)CP(=O)(O)O","3-[formyl(hydroxy)amino]propylphosphonic acid","Fosmidomycin","C4H10NO5P",183.10,-2.200,3,5
573,"CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C","1,3,3-trimethyl-2-[3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohexen-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]cyclohexene","Provitamin A; beta-Carotene","C40H56",536.9,13.500,0,0
574,"C1=CC(=C(C=C1C2=C(C(=C3C(=CC(=O)C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O","2-(3,4-dihydroxyphenyl)-4,5-dihydroxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-7-one","","C21H20O12",464.4,-1.3,8,12
575,"C1=CC(=CC=C1C2=C(C(=C3C(=CC(=O)C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O","4,5-dihydroxy-2-(4-hydroxyphenyl)-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-7-one","","C21H20O11",448.4,-0.9,7,11
576,"C1=CC(=CC=C1C2=C(C(=C3C(=CC(=O)C=C3O2)O)O)O)O","3,4,5-trihydroxy-2-(4-hydroxyphenyl)chromen-7-one","","C15H10O6",286.24,0.9,4,6
577,"C(C1C(C(C(C(O1)OC2C(C(C(C(C2O)O)O)O)O)[NH3+])O)O)O","[4,5-dihydroxy-6-(hydroxymethyl)-2-(2,3,4,5,6-pentahydroxycyclohexyl)oxyoxan-3-yl]azanium","[4,5-Dihydroxy-6-(hydroxymethyl)-2-(2,3,4,5,6-pentahydroxycyclohexyl)oxyoxan-3-yl]azanium","C12H24NO10+",342.32,-5.6,9,10
578,"C(C1C(C(C(C(O1)OC2C(C(C(C(C2O)O)O)O)O)N)O)O)O","6-[3-amino-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycyclohexane-1,2,3,4,5-pentol","6-[3-Amino-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycyclohexane-1,2,3,4,5-pentol","C12H23NO10",341.31,-5.6,9,11
579,"CC(=O)NC1C(C(C(OC1OC2C(C(C(C(C2O)O)O)O)O)CO)O)O","N-[4,5-dihydroxy-6-(hydroxymethyl)-2-(2,3,4,5,6-pentahydroxycyclohexyl)oxyoxan-3-yl]acetamide","1-Adgmi","C14H25NO11",383.35,-5.3,9,11
580,"CC(=O)NC(CS)C(=O)NC1C(C(C(OC1OC2C(C(C(C(C2O)O)O)O)O)CO)O)O","2-acetamido-N-[4,5-dihydroxy-6-(hydroxymethyl)-2-(2,3,4,5,6-pentahydroxycyclohexyl)oxyoxan-3-yl]-3-sulfanylpropanamide","Mycothiol disulfide-Stabilised with trifluoroacetic acid ammonium salt","C17H30N2O12S",486.5,-5.6,11,13
581,"CC(=O)NC(CS)C(=O)O","2-acetamido-3-sulfanylpropanoic acid","N-Acetyl-DL-cysteine","C5H9NO3S",163.20,0.400,3,4
582,"CC(=O)NC(CSSCC(C(=O)NC1C(C(C(OC1OC2C(C(C(C(C2O)O)O)O)O)CO)O)O)NC(=O)C)C(=O)NC3C(C(C(OC3OC4C(C(C(C(C4O)O)O)O)O)CO)O)O","2-acetamido-3-[[2-acetamido-3-[[4,5-dihydroxy-6-(hydroxymethyl)-2-(2,3,4,5,6-pentahydroxycyclohexyl)oxyoxan-3-yl]amino]-3-oxopropyl]disulfanyl]-N-[4,5-dihydroxy-6-(hydroxymethyl)-2-(2,3,4,5,6-pentahydroxycyclohexyl)oxyoxan-3-yl]propanamide","2-acetamido-3-[[2-acetamido-3-[[4,5-dihydroxy-6-(hydroxymethyl)-2-(2,3,4,5,6-pentahydroxycyclohexyl)oxyoxan-3-yl]amino]-3-oxopropyl]disulfanyl]-N-[4,5-dihydroxy-6-(hydroxymethyl)-2-(2,3,4,5,6-pentahydroxycyclohexyl)oxyoxan-3-yl]propanamide","C34H58N4O24S2",971.0,-11.4,20,26
583,"CN1C(CCC1=O)C2=C[N+](=CC=C2)C","1-methyl-5-(1-methylpyridin-1-ium-3-yl)pyrrolidin-2-one","Cotinine methonium ion","C11H15N2O+",191.25,-0.200,0,1
584,"C1=CC=C2C(=C1)C=CC(O2)(C(=O)O)O","2-hydroxychromene-2-carboxylic acid","2-Hydroxychromene-2-carboxylic acid","C10H8O4",192.17,1.800,2,4
585,"C1=CC=C(C(=C1)C=CC(=O)C(=O)O)O","4-(2-hydroxyphenyl)-2-oxobut-3-enoic acid","3-Butenoic acid, 4-(2-hydroxyphenyl)-2-oxo-, (3E)-","C10H8O4",192.17,1.4,2,4
586,"CN(CC(=O)O)C(=N)N","2-[carbamimidoyl(methyl)amino]acetic acid","Creatine","C4H9N3O2",131.13,-1.2,3,3
587,"CN(CC(=O)O)C(=NP(=O)(O)O)N","2-[methyl-(N'-phosphonocarbamimidoyl)amino]acetic acid","Glycine, N-[imino(phosphonoamino)methyl]-N-methyl-","C4H10N3O5P",211.11,-2.6,4,6
588,"CN1CC(=O)N=C1N","2-amino-3-methyl-4H-imidazol-5-one","Creatinine","C4H7N3O",113.12,-1.800,1,1
589,"C[N+](C)(C)CC=CC(=O)[O-]","4-(trimethylazaniumyl)but-2-enoate","CID 589","C7H13NO2",143.18,0.7,0,2
590,"C[N+](C)(C)CC=CC(=O)O","3-carboxyprop-2-enyl(trimethyl)azanium","3-Carboxyprop-2-enyl(trimethyl)azanium","C7H14NO2+",144.19,0.1,1,2
591,"CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC[N+](C)(C)C)O","[4-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-4-oxobut-2-enyl]-trimethylazanium","[4-[2-[3-[[4-[[[5-(6-Aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-4-oxobut-2-enyl]-trimethylazanium","C28H48N8O17P3S+",893.7,-5.3,9,22
592,"CC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O","S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] but-2-enethioate","S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] but-2-enethioate","C25H40N7O17P3S",835.6,-4.800,9,22
593,"C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O","[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate","Cytidine triphosphate disodium salt","C9H16N3O14P3",483.16,-5.600,7,14
594,"C(C(C(=O)O)N)S","2-amino-3-sulfanylpropanoic acid","DL-Cysteine","C3H7NO2S",121.16,-2.500,3,4
